,Symbol
1070,NPLOC4
1071,MOAP1
1072,SYNJ2
1073,GLYR1
1074,DNAH3
1075,IRAK4
1076,TBCEL
1077,ELF2
1078,NLE1
1079,SMAGP
1080,ROCK2
1081,GDPD5
1082,HEG1
1083,PARVA
1084,VPS37A
1085,RPS6
1086,SLC2A9
1087,KDM4B
1088,EED
1089,PSMB8
1090,NENF
1091,HOXA7
1092,SNRNP25
1093,KLK7
1094,COL15A1
1095,NCKAP5
1096,KAT6A
1097,LSG1
1098,HSP90AA1
1099,BDH1
1100,ZNF619
1101,TNFRSF21
1102,SMOX
1103,CSTB
1104,CCR4
1105,BCL9L
1106,DLD
1107,MAST2
1108,IQCA1
1109,MAN2B1
1110,ANGPTL6
1111,ASAH1
1112,DLST
1113,NOL3
1114,CYB5R4
1115,MOK
1116,EBF1
1117,SUZ12
1118,EFCAB12
1119,TEX264
1120,RNF112
1121,TEAD3
1122,LRRC32
1123,SPP1
1124,CNOT4
1125,XPNPEP1
1126,RHBDL2
1127,TTC17
1128,DNMT1
1129,PRDX6
1130,IL37
1131,SYK
1132,ARL11
1133,PRR16
1134,CCSER1
1135,KIF14
1136,GABRR1
1137,CST1
1138,SCYL2
1139,CSF3
1140,NDUFAF5
1141,RABL3
1142,KCNRG
1143,TBX4
1144,SSBP2
1145,ELK4
1146,COL4A1
1147,MKNK1
1148,ADRB3
1149,UNCX
1150,TRAF2
1151,SNAP25
1152,KRT72
1153,CCNE2
1154,PDIA5
1155,SCCPDH
1156,GAPDH
1157,UNC45B
1158,ME2
1159,ISL2
1160,CYP1B1
1161,NPM1
1162,CYTH1
1163,LSP1
1164,TRAM2
1165,FHL2
1166,PSKH2
1167,FEM1B
1168,EHMT1
1169,WARS1
1170,PFKL
1171,NAB2
1172,IKZF1
1173,KRTAP13-3
1174,SLC35B1
1175,TSC22D1
1176,OSTN
1177,IL1B
1178,DPH2
1179,PCGF3
1180,PECR
1181,ZNF781
1182,TERT
1183,SMC3
1184,ST6GALNAC2
1185,PMM2
1186,LCE1E
1187,KLK1
1188,FOSL1
1189,RHD
1190,DNAJC2
1191,DYDC2
1192,PUS1
1193,PDCD6
1194,IGF1
1195,MYL6
1196,MRPL19
1197,TWSG1
1198,HOXC13
1199,DCK
1200,DUSP4
1201,CTRC
1202,ENPEP
1203,KLHL23
1204,KCNE4
1205,TICAM1
1206,RB1
1207,BCR
1208,TMEM109
1209,PCMT1
1210,PNLIP
1211,ZNF30
1212,TOMM34
1213,DCST2
1214,FGFR1OP2
1215,DTX2
1216,NRIP1
1217,S100A8
1218,ZBTB7B
1219,ECSIT
1220,OR4C15
1221,TESK1
1222,NALCN
1223,MAT2B
1224,P4HA2
1225,ARHGEF12
1226,ZNF77
1227,SESN1
1228,MRTO4
1229,CSNK1E
1230,TMED10
1231,DRAXIN
1232,LETMD1
1233,TBPL1
1234,HOXA13
1235,RXRB
